game_name,game_rank,game_year,genre,na_sales,eu_sales,jp_sales,other_sales,platform,publisher,title,rank,report_date
"Grand Theft Auto V",17,2013,Action,7.01,9.27,0.97,4.14,PS3,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Grand Theft Auto V",24,2013,Action,9.63,5.31,0.06,1.38,X360,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Grand Theft Auto V",45,2014,Action,3.8,5.81,0.36,2.02,PS4,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Grand Theft Auto V",198,2014,Action,2.66,2.01,0,0.41,XOne,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Grand Theft Auto V",1898,2015,Action,0.36,0.64,0,0.08,PC,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Wii Sports",1,2006,Sports,41.49,29.02,3.77,8.46,Wii,Nintendo,NULL,NULL,NULL
"Super Mario Bros.",2,1985,Platform,29.08,3.58,6.81,0.77,NES,Nintendo,NULL,NULL,NULL
"Mario Kart Wii",3,2008,Racing,15.85,12.88,3.79,3.31,Wii,Nintendo,NULL,NULL,NULL
"Wii Sports Resort",4,2009,Sports,15.75,11.01,3.28,2.96,Wii,Nintendo,NULL,NULL,NULL
"Pokemon Red/Pokemon Blue",5,1996,Role-Playing,11.27,8.89,10.22,1,GB,Nintendo,NULL,NULL,NULL
Tetris,6,1989,Puzzle,23.2,2.26,4.22,0.58,GB,Nintendo,NULL,NULL,NULL
"New Super Mario Bros.",7,2006,Platform,11.38,9.23,6.5,2.9,DS,Nintendo,NULL,NULL,NULL
"Wii Play",8,2006,Misc,14.03,9.2,2.93,2.85,Wii,Nintendo,NULL,NULL,NULL
"New Super Mario Bros. Wii",9,2009,Platform,14.59,7.06,4.7,2.26,Wii,Nintendo,NULL,NULL,NULL
"Duck Hunt",10,1984,Shooter,26.93,0.63,0.28,0.47,NES,Nintendo,NULL,NULL,NULL
Nintendogs,11,2005,Simulation,9.07,11,1.93,2.75,DS,Nintendo,NULL,NULL,NULL
"Mario Kart DS",12,2005,Racing,9.81,7.57,4.13,1.92,DS,Nintendo,NULL,NULL,NULL
"Pokemon Gold/Pokemon Silver",13,1999,Role-Playing,9,6.18,7.2,0.71,GB,Nintendo,NULL,NULL,NULL
"Wii Fit",14,2007,Sports,8.94,8.03,3.6,2.15,Wii,Nintendo,NULL,NULL,NULL
"Wii Fit Plus",15,2009,Sports,9.09,8.59,2.53,1.79,Wii,Nintendo,NULL,NULL,NULL
"Kinect Adventures!",16,2010,Misc,14.97,4.94,0.24,1.67,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Grand Theft Auto: San Andreas",18,2004,Action,9.43,0.4,0.41,10.57,PS2,"Take-Two Interactive",NULL,NULL,NULL
"Super Mario World",19,1990,Platform,12.78,3.75,3.54,0.55,SNES,Nintendo,NULL,NULL,NULL
"Pokemon Diamond/Pokemon Pearl",21,2006,Role-Playing,6.42,4.52,6.04,1.37,DS,Nintendo,NULL,NULL,NULL
"Super Mario Land",22,1989,Platform,10.83,2.71,4.18,0.42,GB,Nintendo,NULL,NULL,NULL
"Super Mario Bros. 3",23,1988,Platform,9.54,3.44,3.84,0.46,NES,Nintendo,NULL,NULL,NULL
"Grand Theft Auto: Vice City",25,2002,Action,8.41,5.49,0.47,1.78,PS2,"Take-Two Interactive",NULL,NULL,NULL
"Pokemon Ruby/Pokemon Sapphire",26,2002,Role-Playing,6.06,3.9,5.38,0.5,GBA,Nintendo,NULL,NULL,NULL
"Pokemon Black/Pokemon White",27,2010,Role-Playing,5.57,3.28,5.65,0.82,DS,Nintendo,NULL,NULL,NULL
"Brain Age 2: More Training in Minutes a Day",28,2005,Puzzle,3.44,5.36,5.32,1.18,DS,Nintendo,NULL,NULL,NULL
"Gran Turismo 3: A-Spec",29,2001,Racing,6.85,5.09,1.87,1.16,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Call of Duty: Modern Warfare 3",30,2011,Shooter,9.03,4.28,0.13,1.32,X360,Activision,NULL,NULL,NULL
,31,1998,Role-Playing,5.89,5.04,3.12,0.59,GB,Nintendo,NULL,NULL,NULL
"Call of Duty: Black Ops",32,2010,Shooter,9.67,3.73,0.11,1.13,X360,Activision,NULL,NULL,NULL
"Pokemon X/Pokemon Y",33,2013,Role-Playing,5.17,4.05,4.34,0.79,3DS,Nintendo,NULL,NULL,NULL
"Call of Duty: Black Ops 3",34,2015,Shooter,5.77,5.81,0.35,2.31,PS4,Activision,NULL,NULL,NULL
"Call of Duty: Black Ops II",35,2012,Shooter,4.99,5.88,0.65,2.52,PS3,Activision,NULL,NULL,NULL
"Call of Duty: Black Ops II",36,2012,Shooter,8.25,4.3,0.07,1.12,X360,Activision,NULL,NULL,NULL
"Call of Duty: Modern Warfare 2",37,2009,Shooter,8.52,3.63,0.08,1.29,X360,Activision,NULL,NULL,NULL
"Call of Duty: Modern Warfare 3",38,2011,Shooter,5.54,5.82,0.49,1.62,PS3,Activision,NULL,NULL,NULL
"Grand Theft Auto III",39,2001,Action,6.99,4.51,0.3,1.3,PS2,"Take-Two Interactive",NULL,NULL,NULL
"Super Smash Bros. Brawl",40,2008,Fighting,6.75,2.61,2.66,1.02,Wii,Nintendo,NULL,NULL,NULL
"Call of Duty: Black Ops",41,2010,Shooter,5.98,4.44,0.48,1.83,PS3,Activision,NULL,NULL,NULL
"Animal Crossing: Wild World",42,2005,Simulation,2.55,3.52,5.33,0.88,DS,Nintendo,NULL,NULL,NULL
"Mario Kart 7",43,2011,Racing,4.74,3.91,2.67,0.89,3DS,Nintendo,NULL,NULL,NULL
"Halo 3",44,2007,Shooter,7.97,2.83,0.13,1.21,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Pokemon HeartGold/Pokemon SoulSilver",46,2009,Action,4.4,2.77,3.96,0.77,DS,Nintendo,NULL,NULL,NULL
"Super Mario 64",47,1996,Platform,6.91,2.85,1.91,0.23,N64,Nintendo,NULL,NULL,NULL
"Gran Turismo 4",48,2004,Racing,3.01,0.01,1.1,7.53,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Super Mario Galaxy",49,2007,Platform,6.16,3.4,1.2,0.76,Wii,Nintendo,NULL,NULL,NULL
"Pokemon Omega Ruby/Pokemon Alpha Sapphire",50,2014,Role-Playing,4.23,3.37,3.08,0.65,3DS,Nintendo,NULL,NULL,NULL
"Super Mario Land 2: 6 Golden Coins",51,1992,Adventure,6.16,2.04,2.69,0.29,GB,Nintendo,NULL,NULL,NULL
"Grand Theft Auto IV",52,2008,Action,6.76,3.1,0.14,1.03,X360,"Take-Two Interactive",NULL,NULL,NULL
"Gran Turismo",53,1997,Racing,4.02,3.87,2.54,0.52,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Super Mario 3D Land",54,2011,Platform,4.89,2.99,2.13,0.78,3DS,Nintendo,NULL,NULL,NULL
"Gran Turismo 5",55,2010,Racing,2.96,4.88,0.81,2.12,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Call of Duty: Modern Warfare 2",56,2009,Shooter,4.99,3.69,0.38,1.63,PS3,Activision,NULL,NULL,NULL
"Grand Theft Auto IV",57,2008,Action,4.76,3.76,0.44,1.62,PS3,"Take-Two Interactive",NULL,NULL,NULL
"Super Mario All-Stars",58,1993,Platform,5.99,2.15,2.12,0.29,SNES,Nintendo,NULL,NULL,NULL
"Pokemon FireRed/Pokemon LeafGreen",59,2004,Role-Playing,4.34,2.65,3.15,0.35,GBA,Nintendo,NULL,NULL,NULL
"Super Mario 64",60,2004,Platform,5.08,3.11,1.25,0.98,DS,Nintendo,NULL,NULL,NULL
"Just Dance 3",61,2011,Misc,6.05,3.15,0,1.07,Wii,Ubisoft,NULL,NULL,NULL
"Call of Duty: Ghosts",62,2013,Shooter,6.72,2.63,0.04,0.82,X360,Activision,NULL,NULL,NULL
"Halo: Reach",63,2010,Shooter,7.03,1.98,0.08,0.78,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Mario Kart 64",64,1996,Racing,5.55,1.94,2.23,0.15,N64,Nintendo,NULL,NULL,NULL
"New Super Mario Bros. 2",65,2012,Platform,3.66,3.07,2.47,0.63,3DS,Nintendo,NULL,NULL,NULL
"Halo 4",66,2012,Shooter,6.63,2.36,0.04,0.73,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Final Fantasy VII",67,1997,Role-Playing,3.01,2.47,3.28,0.96,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Call of Duty: Ghosts",68,2013,Shooter,4.09,3.73,0.38,1.38,PS3,Activision,NULL,NULL,NULL
"Just Dance 2",69,2010,Misc,5.84,2.89,0.01,0.78,Wii,Ubisoft,NULL,NULL,NULL
"Gran Turismo 2",70,1999,Racing,3.88,3.42,1.69,0.5,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Call of Duty 4: Modern Warfare",71,2007,Shooter,5.91,2.38,0.13,0.9,X360,Activision,NULL,NULL,NULL
"Donkey Kong Country",72,1994,Platform,4.36,1.71,3,0.23,SNES,Nintendo,NULL,NULL,NULL
Minecraft,73,2013,Misc,5.58,2.83,0.02,0.77,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Animal Crossing: New Leaf",74,2012,Simulation,2.01,2.32,4.36,0.41,3DS,Nintendo,NULL,NULL,NULL
"Mario Party DS",75,2007,Misc,4.46,1.88,1.98,0.7,DS,Nintendo,NULL,NULL,NULL
"The Elder Scrolls V: Skyrim",76,2011,Role-Playing,5.03,2.86,0.1,0.85,X360,"Bethesda Softworks",NULL,NULL,NULL
"Super Mario Kart",77,1992,Racing,3.54,1.24,3.81,0.18,SNES,Nintendo,NULL,NULL,NULL
"FIFA 16",78,2015,Sports,1.11,6.06,0.06,1.26,PS4,"Electronic Arts",NULL,NULL,NULL
"Wii Party",79,2010,Misc,1.79,3.53,2.49,0.68,Wii,Nintendo,NULL,NULL,NULL
"Halo 2",80,2004,Shooter,6.82,1.53,0.05,0.08,XB,"Microsoft Game Studios",NULL,NULL,NULL
"Mario Party 8",81,2007,Misc,3.81,2.3,1.58,0.73,Wii,Nintendo,NULL,NULL,NULL
"Pokemon Black 2/Pokemon White 2",82,2012,Role-Playing,2.91,1.86,3.14,0.43,DS,Nintendo,NULL,NULL,NULL
"FIFA Soccer 13",83,2012,Action,1.06,5.05,0.13,2.01,PS3,"Electronic Arts",NULL,NULL,NULL
"The Sims 3",84,2009,Simulation,0.98,6.42,0,0.71,PC,"Electronic Arts",NULL,NULL,NULL
"GoldenEye 007",85,1997,Shooter,5.8,2.01,0.13,0.15,N64,Nintendo,NULL,NULL,NULL
"Mario & Sonic at the Olympic Games",86,2007,Sports,2.58,3.9,0.66,0.91,Wii,Sega,NULL,NULL,NULL
"Final Fantasy X",87,2001,Role-Playing,2.91,2.07,2.73,0.33,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Final Fantasy VIII",88,1999,Role-Playing,2.28,1.72,3.63,0.23,PS,SquareSoft,NULL,NULL,NULL
"Pokémon Platinum Version",89,2008,Role-Playing,2.82,1.78,2.69,0.55,DS,Nintendo,NULL,NULL,NULL
Pac-Man,90,1982,Puzzle,7.28,0.45,0,0.08,2600,Atari,NULL,NULL,NULL
"Grand Theft Auto: Liberty City Stories",91,2005,Action,2.9,2.83,0.24,1.75,PSP,"Take-Two Interactive",NULL,NULL,NULL
"Super Mario Galaxy 2",92,2010,Platform,3.66,2.42,0.98,0.64,Wii,Nintendo,NULL,NULL,NULL
"Star Wars Battlefront (2015)",93,2015,Shooter,2.93,3.29,0.22,1.23,PS4,"Electronic Arts",NULL,NULL,NULL
"Call of Duty: Advanced Warfare",94,2014,Shooter,2.8,3.3,0.14,1.37,PS4,Activision,NULL,NULL,NULL
"The Legend of Zelda: Ocarina of Time",95,1998,Action,4.1,1.89,1.45,0.16,N64,Nintendo,NULL,NULL,NULL
"Crash Bandicoot 2: Cortex Strikes Back",96,1997,Platform,3.78,2.17,1.31,0.31,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Super Mario Bros. 2",97,1988,Platform,5.39,1.18,0.7,0.19,NES,Nintendo,NULL,NULL,NULL
"Super Smash Bros. for Wii U and 3DS",98,2014,Fighting,3.24,1.35,2.42,0.43,3DS,Nintendo,NULL,NULL,NULL
"Call of Duty: World at War",99,2008,Shooter,4.79,1.9,0,0.69,X360,Activision,NULL,NULL,NULL
"Battlefield 3",100,2011,Shooter,4.46,2.13,0.06,0.69,X360,"Electronic Arts",NULL,NULL,NULL
"The Legend of Zelda: Twilight Princess",101,2006,Action,3.83,2.19,0.6,0.7,Wii,Nintendo,NULL,NULL,NULL
"Call of Duty: Black Ops 3",102,2015,Shooter,4.52,2.09,0.01,0.67,XOne,Activision,NULL,NULL,NULL
"Just Dance",103,2009,Misc,3.51,3.03,0,0.73,Wii,Ubisoft,NULL,NULL,NULL
"Battlefield 3",104,2011,Shooter,2.85,2.93,0.35,1.1,PS3,"Electronic Arts",NULL,NULL,NULL
"Need for Speed Underground",105,2003,Racing,3.27,2.83,0.08,1.02,PS2,"Electronic Arts",NULL,NULL,NULL
"Tekken 3",106,1998,Fighting,3.27,2.22,1.4,0.29,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Crash Bandicoot 3: Warped",107,1998,Platform,3.68,1.75,1.42,0.28,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Super Smash Bros. Melee",108,2001,Fighting,4.41,1.04,1.39,0.22,GC,Nintendo,NULL,NULL,NULL
"Mario Kart 8",109,2014,Racing,3.13,2.07,1.27,0.49,WiiU,Nintendo,NULL,NULL,NULL
"Fallout 4",110,2015,Role-Playing,2.47,3.15,0.24,1.1,PS4,"Bethesda Softworks",NULL,NULL,NULL
"Mario Kart: Double Dash!!",111,2003,Racing,4.12,1.77,0.87,0.19,GC,Nintendo,NULL,NULL,NULL
"Just Dance 4",112,2012,Misc,4.14,2.21,0,0.56,Wii,Ubisoft,NULL,NULL,NULL
"FIFA 14",113,2013,Sports,0.78,4.32,0.07,1.73,PS3,"Electronic Arts",NULL,NULL,NULL
"Need for Speed Underground 2",114,2004,Racing,2.71,3.02,0.08,1.09,PS2,"Electronic Arts",NULL,NULL,NULL
"Medal of Honor: Frontline",115,2002,Shooter,2.93,2.75,0.17,0.99,PS2,"Electronic Arts",NULL,NULL,NULL
"Uncharted 3: Drake's Deception",116,2011,Action,2.77,2.8,0.19,1.06,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Crash Bandicoot",117,1996,Platform,3.23,2.35,0.94,0.3,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Zumba Fitness",118,2010,Sports,3.5,2.64,0,0.67,Wii,"505 Games",NULL,NULL,NULL
"Gears of War 2",119,2008,Shooter,4.15,1.92,0.06,0.64,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Uncharted 2: Among Thieves",120,2009,Action,3.27,2.25,0.21,1,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Call of Duty 4: Modern Warfare",121,2007,Shooter,3.1,2.3,0.28,1.04,PS3,Activision,NULL,NULL,NULL
"FIFA 12",122,2011,Sports,0.84,4.32,0.11,1.42,PS3,"Electronic Arts",NULL,NULL,NULL
"Big Brain Academy",123,2005,Misc,1.67,2.78,1.6,0.62,DS,Nintendo,NULL,NULL,NULL
"Red Dead Redemption",124,2010,Action,2.79,2.61,0.17,1.03,PS3,"Take-Two Interactive",NULL,NULL,NULL
"FIFA 15",125,2014,Sports,0.79,4.29,0.05,1.47,PS4,"Electronic Arts",NULL,NULL,NULL
"Donkey Kong Country Returns",126,2010,Platform,3.25,1.84,1.03,0.47,Wii,Nintendo,NULL,NULL,NULL
"The Elder Scrolls V: Skyrim",127,2011,Role-Playing,2.55,2.71,0.25,1.05,PS3,"Bethesda Softworks",NULL,NULL,NULL
"The Legend of Zelda",128,1986,Action,3.74,0.93,1.69,0.14,NES,Nintendo,NULL,NULL,NULL
"Assassin's Creed III",129,2012,Action,2.64,2.56,0.16,1.14,PS3,Ubisoft,NULL,NULL,NULL
"Halo: Combat Evolved",130,2001,Shooter,4.98,1.3,0.08,0.07,XB,"Microsoft Game Studios",NULL,NULL,NULL
"Pokémon Emerald Version",131,2004,Role-Playing,2.57,1.58,2.06,0.21,GBA,Nintendo,NULL,NULL,NULL
"Kingdom Hearts",132,2002,Role-Playing,3.64,1.2,1.49,0.07,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Pokémon Crystal Version",133,2000,Role-Playing,2.55,1.56,1.29,0.99,GB,Nintendo,NULL,NULL,NULL
"Halo 3: ODST",134,2009,Shooter,4.34,1.35,0.06,0.61,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Red Dead Redemption",135,2010,Action,3.7,1.97,0.09,0.57,X360,"Take-Two Interactive",NULL,NULL,NULL
"Super Mario Sunshine",136,2002,Platform,4.01,1.26,0.87,0.17,GC,Nintendo,NULL,NULL,NULL
"Street Fighter II: The World Warrior",137,1992,Fighting,2.47,0.83,2.87,0.12,SNES,Capcom,NULL,NULL,NULL
"World of Warcraft",138,2004,Role-Playing,0.07,6.21,0,0,PC,Activision,NULL,NULL,NULL
Driver,139,1999,Action,3.11,2.8,0.02,0.33,PS,"GT Interactive",NULL,NULL,NULL
"Kinect Sports",140,2010,Sports,3.92,1.78,0.03,0.51,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Gears of War 3",141,2011,Shooter,4.05,1.62,0.07,0.49,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Gears of War",142,2006,Shooter,3.54,1.9,0.07,0.6,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Metal Gear Solid 2: Sons of Liberty",143,2001,Action,2.45,2.01,0.87,0.72,PS2,"Konami Digital Entertainment",NULL,NULL,NULL
"Sonic the Hedgehog 2",144,1992,Platform,4.47,1.2,0.16,0.19,GEN,Sega,NULL,NULL,NULL
"Metal Gear Solid 4: Guns of the Patriots",145,2008,Action,2.63,1.74,0.83,0.83,PS3,"Konami Digital Entertainment",NULL,NULL,NULL
"Metal Gear Solid",146,1998,Action,3.18,1.83,0.78,0.24,PS,"Konami Digital Entertainment",NULL,NULL,NULL
"The Last of Us",147,2013,Action,2.41,2.28,0.28,1.01,PS3,"Sony Computer Entertainment Europe",NULL,NULL,NULL
"Final Fantasy XII",148,2006,Role-Playing,1.88,0,2.33,1.74,PS2,"Square Enix",NULL,NULL,NULL
LittleBigPlanet,149,2008,Platform,2.8,2.05,0.17,0.9,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Dragon Quest IX: Sentinels of the Starry Skies",150,2009,Role-Playing,0.66,0.69,4.35,0.15,DS,Nintendo,NULL,NULL,NULL
"LEGO Star Wars: The Complete Saga",151,2007,Action,3.66,1.63,0,0.53,Wii,LucasArts,NULL,NULL,NULL
"Resident Evil 2",152,1998,Action,1.88,1.47,2.02,0.45,PS,"Virgin Interactive",NULL,NULL,NULL
"Tekken 2",153,1996,Fighting,2.26,1.89,1.36,0.23,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Cooking Mama",154,2006,Simulation,3.13,1.94,0.07,0.58,DS,"505 Games",NULL,NULL,NULL
Destiny,155,2014,Shooter,2.49,2.05,0.16,0.96,PS4,Activision,NULL,NULL,NULL
Tetris,156,1988,Puzzle,2.97,0.69,1.81,0.11,NES,Nintendo,NULL,NULL,NULL
"Assassin's Creed II",157,2009,Action,2.54,1.95,0.21,0.87,PS3,Ubisoft,NULL,NULL,NULL
"Super Smash Bros.",158,1999,Fighting,2.95,0.6,1.97,0.04,N64,Nintendo,NULL,NULL,NULL
"Assassin's Creed",159,2007,Adventure,3.28,1.65,0.07,0.55,X360,Ubisoft,NULL,NULL,NULL
"Batman: Arkham City",160,2011,Action,2.7,1.91,0.11,0.8,PS3,"Warner Bros. Interactive Entertainment",NULL,NULL,NULL
"Forza Motorsport 3",161,2009,Racing,2.99,1.92,0.1,0.51,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Monster Hunter Freedom Unite",162,2008,Role-Playing,0.47,0.57,4.13,0.34,PSP,Capcom,NULL,NULL,NULL
"Super Mario Advance",163,2001,Platform,3.14,1.24,0.91,0.2,GBA,Nintendo,NULL,NULL,NULL
"Mario Kart: Super Circuit",164,2001,Racing,2.62,1.64,0.99,0.23,GBA,Nintendo,NULL,NULL,NULL
"Super Mario World",165,2001,Platform,3.21,1.11,0.95,0.2,GBA,Nintendo,NULL,NULL,NULL
"Pokemon Stadium",166,1999,Strategy,3.18,1.24,0.94,0.09,N64,Nintendo,NULL,NULL,NULL
"Call of Duty: World at War",167,2008,Shooter,2.72,1.87,0,0.84,PS3,Activision,NULL,NULL,NULL
"Crash Bandicoot: The Wrath of Cortex",168,2001,Platform,2.07,2.29,0.24,0.82,PS2,"Universal Interactive",NULL,NULL,NULL
Minecraft,169,2014,Misc,1.97,2.51,0,0.94,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Final Fantasy XIII",170,2009,Role-Playing,1.74,1.24,1.87,0.52,PS3,"Square Enix",NULL,NULL,NULL
"Dr. Mario",171,1989,Puzzle,2.18,0.96,2,0.2,GB,Nintendo,NULL,NULL,NULL
"Pokemon Pinball",172,1999,Misc,3.02,1.12,1.01,0.16,GB,Nintendo,NULL,NULL,NULL
"Assassin's Creed III",173,2012,Action,3.13,1.71,0.03,0.44,X360,Ubisoft,NULL,NULL,NULL
"Final Fantasy IX",174,2000,Role-Playing,1.62,0.77,2.78,0.14,PS,SquareSoft,NULL,NULL,NULL
"Final Fantasy X-2",175,2003,Role-Playing,1.92,1.08,2.11,0.17,PS2,"Electronic Arts",NULL,NULL,NULL
"Donkey Kong 64",176,1999,Platform,3.33,0.79,1.09,0.06,N64,Nintendo,NULL,NULL,NULL
"Assassin's Creed II",177,2009,Action,3.1,1.56,0.08,0.51,X360,Ubisoft,NULL,NULL,NULL
"Professor Layton and the Curious Village",178,2007,Puzzle,1.22,2.48,1.03,0.52,DS,Nintendo,NULL,NULL,NULL
"Tomb Raider II",179,1997,Action,2.3,2.46,0.2,0.28,PS,"Eidos Interactive",NULL,NULL,NULL
"Dragon Quest VIII: Journey of the Cursed King",181,2004,Role-Playing,0.65,0.75,3.61,0.2,PS2,"Square Enix",NULL,NULL,NULL
"Diablo III",182,2012,Role-Playing,2.43,2.15,0,0.62,PC,Activision,NULL,NULL,NULL
"Super Mario Bros. 3",183,2003,Platform,2.93,1.25,0.83,0.2,GBA,Nintendo,NULL,NULL,NULL
"New Super Mario Bros. U",184,2012,Platform,2.32,1.3,1.27,0.31,WiiU,Nintendo,NULL,NULL,NULL
"Super Mario Land 3: Wario Land",185,1994,Platform,2.49,0.98,1.57,0.15,GB,Nintendo,NULL,NULL,NULL
"FIFA Soccer 13",186,2012,Action,1.08,3.48,0.03,0.58,X360,"Electronic Arts",NULL,NULL,NULL
"The Legend of Zelda: Phantom Hourglass",187,2007,Action,1.9,1.83,0.95,0.49,DS,Nintendo,NULL,NULL,NULL
"Donkey Kong Country 2: Diddy's Kong Quest",188,1995,Platform,2.1,0.74,2.2,0.11,SNES,Nintendo,NULL,NULL,NULL
"Tomodachi Life",189,2013,Simulation,0.96,2.02,1.89,0.28,3DS,Nintendo,NULL,NULL,NULL
"Mario & Sonic at the Olympic Games",190,2008,Sports,1.64,2.48,0.44,0.58,DS,Sega,NULL,NULL,NULL
"Medal of Honor: Rising Sun",191,2003,Shooter,1.98,2.23,0.13,0.8,PS2,"Electronic Arts",NULL,NULL,NULL
"Kirby's Dream Land",192,1992,Platform,2.71,0.61,1.7,0.11,GB,Nintendo,NULL,NULL,NULL
"Fable III",193,2010,Role-Playing,3.59,1.11,0.05,0.38,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Call of Duty: Advanced Warfare",194,2014,Shooter,3.21,1.53,0.01,0.38,XOne,Activision,NULL,NULL,NULL
"Microsoft Flight Simulator",195,1996,Simulation,3.22,1.69,0,0.2,PC,"Microsoft Game Studios",NULL,NULL,NULL
"Guitar Hero II",196,2006,Misc,3.81,0.63,0,0.68,PS2,RedOctane,NULL,NULL,NULL
"Resident Evil 5",197,2009,Action,1.96,1.43,1.08,0.65,PS3,Capcom,NULL,NULL,NULL
"Grand Theft Auto: Vice City Stories",199,2006,Action,1.7,2.02,0.16,1.21,PSP,"Take-Two Interactive",NULL,NULL,NULL
"FIFA Soccer 11",200,2010,Sports,0.6,3.29,0.06,1.13,PS3,"Electronic Arts",NULL,NULL,NULL
